movement_cost,initial_b,treatment,b_trait,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,a,b,b_fraction,a_loss_tick,b_loss_tick,extinction_tick
3,72,competition,1000,1203,3000,22,3395,3453,477,11240,428780,417063,1000.0,1,1,117,0,22,1.0,67,,
3,72,competition,1000,1204,3000,33,3429,3476,668,10032,428840,418140,1000.0,1,1,112,0,33,1.0,49,,
3,72,competition,1000,1205,3000,0,70,150,0,24576,35796,11220,,0,0,,0,0,,43,69,69
3,72,competition,1000,1206,3000,36,3395,3439,815,9960,436484,425709,1000.0,1,1,101,0,36,1.0,91,,
3,72,competition,1000,1207,3000,23,3396,3453,475,9056,430876,421345,1000.0,1,1,124,0,23,1.0,273,,
3,72,competition,1000,1208,3000,22,3378,3436,521,10248,424880,414111,1000.0,1,1,117,0,22,1.0,82,,
3,72,competition,1000,1209,3000,26,3386,3440,549,11336,429372,417487,1000.0,1,1,95,0,26,1.0,49,,
3,72,neutral,250,1200,3000,69,4722,4733,1234,12668,373404,359502,250.0,1,1,124,0,69,1.0,145,,
3,72,neutral,250,1201,3000,64,4747,4763,1132,11728,381168,368308,250.0,1,1,104,0,64,1.0,651,,
3,72,neutral,250,1202,3000,61,4760,4779,1051,9980,380472,369441,250.0,1,2,111,0,61,1.0,314,,
3,72,neutral,250,1203,3000,77,4731,4734,1521,12812,375416,361083,250.0,1,1,124,77,0,0.0,,788,
3,72,neutral,250,1204,3000,71,4742,4751,1275,12700,375928,361953,250.0,1,1,113,0,71,1.0,148,,
3,72,neutral,250,1205,3000,63,4749,4766,1215,10496,373024,361313,250.0,1,2,131,0,63,1.0,209,,
3,72,neutral,250,1206,3000,54,4800,4826,1030,12748,385332,371554,250.0,1,1,101,0,54,1.0,221,,
3,72,neutral,250,1207,3000,34,4674,4720,658,17572,378188,359958,250.0,1,1,123,0,34,1.0,277,,
