source,parent_index,coordinate,delta,parent_valid,variant_valid,variant_reason,transition,silent_genotype,weights_changed,active_sites_changed,cost_change,behavior_tv
83002,2,7,-1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83002,2,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,2,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83002,2,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83002,3,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,6,-1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83002,3,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,7,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,3,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83002,3,9,1,False,False,empty_structure,invalid_to_invalid,False,False,False,35,
83002,4,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,1,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,1,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,2,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,2,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,3,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,3,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,4,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,4,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,5,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,5,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,6,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,6,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,7,-1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83002,4,7,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,8,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,8,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83002,4,9,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,-35,
83002,4,9,1,False,False,empty_structure,invalid_to_invalid,True,False,False,0,
83003,0,0,-1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
83003,0,0,1,False,False,empty_structure,invalid_to_invalid,False,False,False,0,
