arm,birth_threshold,renewal,seed,partition,ticks,actual_added,uncapped,discarded,expected_added,expected_cap_loss,expected_added_value,expected_cap_loss_value,actual_minus_expected,actual_minus_expected_value,realized_discard_fraction,expected_loss_fraction
block,160,frequent-small,1707,active,100,5610,6127,517,278811/50,28389/50,5576.22,567.78,1689/50,33.78,0.0843806104129264,0.092412109375
block,160,frequent-small,1707,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,frequent-small,1708,all,100,5457,6082,625,137052/25,16548/25,5482.08,661.92,-627/25,-25.08,0.10276224926011181,0.107734375
block,160,frequent-small,1708,active,100,5457,6082,625,137052/25,16548/25,5482.08,661.92,-627/25,-25.08,0.10276224926011181,0.107734375
block,160,frequent-small,1708,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,frequent-small,1709,all,100,5456,6112,656,27504/5,3216/5,5500.8,643.2,-224/5,-44.8,0.10732984293193717,0.1046875
block,160,frequent-small,1709,active,100,5456,6112,656,27504/5,3216/5,5500.8,643.2,-224/5,-44.8,0.10732984293193717,0.1046875
block,160,frequent-small,1709,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1700,all,100,5612,6280,668,54903/10,6537/10,5490.3,653.7,1217/10,121.7,0.10636942675159236,0.106396484375
block,160,reference,1700,active,100,5612,6280,668,54903/10,6537/10,5490.3,653.7,1217/10,121.7,0.10636942675159236,0.106396484375
block,160,reference,1700,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1701,all,100,5640,6256,616,139266/25,14334/25,5570.64,573.36,1734/25,69.36,0.09846547314578005,0.0933203125
block,160,reference,1701,active,100,5640,6256,616,139266/25,14334/25,5570.64,573.36,1734/25,69.36,0.09846547314578005,0.0933203125
block,160,reference,1701,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1702,all,100,5436,6184,748,54351/10,7089/10,5435.1,708.9,9/10,0.9,0.12095730918499353,0.115380859375
block,160,reference,1702,active,100,5436,6184,748,54351/10,7089/10,5435.1,708.9,9/10,0.9,0.12095730918499353,0.115380859375
block,160,reference,1702,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1703,all,100,5652,6172,520,280293/50,26907/50,5605.86,538.14,2307/50,46.14,0.08425145819831498,0.087587890625
block,160,reference,1703,active,100,5652,6172,520,280293/50,26907/50,5605.86,538.14,2307/50,46.14,0.08425145819831498,0.087587890625
block,160,reference,1703,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1704,all,100,5556,6240,684,274479/50,32721/50,5489.58,654.42,3321/50,66.42,0.10961538461538461,0.106513671875
block,160,reference,1704,active,100,5556,6240,684,274479/50,32721/50,5489.58,654.42,3321/50,66.42,0.10961538461538461,0.106513671875
block,160,reference,1704,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1705,all,100,5232,6024,792,53439/10,8001/10,5343.9,800.1,-1119/10,-111.9,0.13147410358565736,0.130224609375
block,160,reference,1705,active,100,5232,6024,792,53439/10,8001/10,5343.9,800.1,-1119/10,-111.9,0.13147410358565736,0.130224609375
block,160,reference,1705,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1706,all,100,5196,6028,832,131688/25,21912/25,5267.52,876.48,-1788/25,-71.52,0.13802256138022562,0.14265625
block,160,reference,1706,active,100,5196,6028,832,131688/25,21912/25,5267.52,876.48,-1788/25,-71.52,0.13802256138022562,0.14265625
block,160,reference,1706,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1707,all,100,5512,6084,572,139233/25,14367/25,5569.32,574.68,-1433/25,-57.32,0.09401709401709402,0.09353515625
block,160,reference,1707,active,100,5512,6084,572,139233/25,14367/25,5569.32,574.68,-1433/25,-57.32,0.09401709401709402,0.09353515625
block,160,reference,1707,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1708,all,100,5420,6060,640,55041/10,6399/10,5504.1,639.9,-841/10,-84.1,0.10561056105610561,0.104150390625
block,160,reference,1708,active,100,5420,6060,640,55041/10,6399/10,5504.1,639.9,-841/10,-84.1,0.10561056105610561,0.104150390625
block,160,reference,1708,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,reference,1709,all,100,5492,6080,588,11097/2,1191/2,5548.5,595.5,-113/2,-56.5,0.09671052631578947,0.096923828125
block,160,reference,1709,active,100,5492,6080,588,11097/2,1191/2,5548.5,595.5,-113/2,-56.5,0.09671052631578947,0.096923828125
block,160,reference,1709,empty,0,0,0,0,0,0,0.0,0.0,0,0.0,,
block,160,rare-large,1700,all,100,5712,6504,792,268489/50,38711/50,5369.78,774.22,17111/50,342.22,0.12177121771217712,0.12601236979166666
block,160,rare-large,1700,active,100,5712,6504,792,268489/50,38711/50,5369.78,774.22,17111/50,342.22,0.12177121771217712,0.12601236979166666
