arm,birth_threshold,renewal,food_capacity,movement_cost,birth_cost,seed,tick,population,births,deaths,organism_energy,food_energy,supplied_energy,dissipated_energy,mean_genome,genome_variants,founder_lineages,max_generation,resources_added_by_100,cumulative_uptake_by_100,population_at_100,births_at_100,early_peak_population,first_peak_tick,food_eaten_by_100,food_at_100,organism_energy_at_100,resources_added_by_500,cumulative_uptake_by_500,population_at_500,resources_added_by_5000,cumulative_uptake_by_5000,population_at_5000,resources_added_by_10000,cumulative_uptake_by_10000,active_start_ticks,empty_start_ticks,food_at_active_window_end,resources_added_during_active_start_ticks,cumulative_uptake_at_active_window_end,resources_added_after_extinction,extinction_tick,right_censored,founders_on_food,food_under_founders
block,160,rare-large,24,0,0,1809,10000,46,894,928,3418,6888,511796,501490,250.0,1,2,32,5312,3672,20,4,80,0,3672,6760,1747,23416,18624,50,250472,248680,58,504756,502988,10000,0,6888,504756,502988,0,,True,19,456
block,160,rare-large,96,0,0,1800,10000,80,1302,1302,7024,7228,617920,603668,250.0,1,2,33,6504,5016,29,14,80,0,5016,6608,2892,31740,27748,74,305860,303964,75,610880,608772,10000,0,7228,610880,608772,0,,True,15,360
block,160,rare-large,96,0,0,1801,10000,51,1319,1348,4202,7864,621492,609426,250.0,1,3,33,6540,4712,27,10,80,0,4712,6948,2663,32064,29788,105,308240,305432,51,614452,611708,10000,0,7864,614452,611708,0,,True,18,432
block,160,rare-large,96,0,0,1802,10000,63,1293,1310,4651,7496,621280,609133,250.0,1,1,38,6144,3752,24,9,80,0,3752,7512,1991,31404,27120,78,305568,301948,59,614240,611864,10000,0,7496,614240,611864,0,,True,10,240
block,160,rare-large,96,0,0,1803,10000,46,1315,1349,3402,8956,622152,609794,250.0,1,2,37,6000,3524,22,6,80,0,3524,7596,1702,31140,24888,64,308052,305604,73,615112,611276,10000,0,8956,615112,611276,0,,True,15,360
block,160,rare-large,96,0,0,1804,10000,78,1229,1231,6073,8528,616496,601895,250.0,1,1,32,5640,3636,22,7,80,0,3636,7124,1982,30204,24040,71,304560,301296,47,609456,606048,10000,0,8528,609456,606048,0,,True,10,240
block,160,rare-large,96,0,0,1805,10000,67,1273,1286,5549,9184,622996,608263,250.0,1,1,35,6048,5120,32,12,80,0,5120,6048,2955,30444,24344,66,308328,305960,58,615956,611892,10000,0,9184,615956,611892,0,,True,17,408
block,160,rare-large,96,0,0,1806,10000,58,1279,1301,4191,7512,620752,609049,250.0,1,1,31,6072,4452,30,11,80,0,4452,6740,2406,30240,21196,56,306264,304948,66,613712,611320,10000,0,7512,613712,611320,0,,True,14,336
block,160,rare-large,96,0,0,1807,10000,46,1245,1279,3306,10168,618376,604902,250.0,1,2,34,5412,4656,28,8,80,0,4656,5876,2463,30908,25284,75,306696,303836,56,611336,606288,10000,0,10168,611336,606288,0,,True,15,360
block,160,rare-large,96,0,0,1808,10000,61,1263,1282,4862,8156,618008,604990,250.0,1,2,36,6084,3764,21,9,80,0,3764,7440,2078,31356,25852,81,306072,303356,64,610968,607932,10000,0,8156,610968,607932,0,,True,9,216
block,160,rare-large,96,0,0,1809,10000,60,1308,1328,4563,7740,622512,610209,250.0,1,1,37,6240,4196,25,9,80,0,4196,7164,2145,30732,21304,50,305620,303180,55,615472,612852,10000,0,7740,615472,612852,0,,True,19,456
